,losses
1051,221461.83
1052,221559.27
1053,221643.19
1054,221714.73
1055,221775.02
1056,221825.06
1057,221865.75
1058,221897.92
1059,221922.42
1060,1041374.6
1061,1041308.06
1062,1041234.6
1063,1041155.0
1064,1041069.75
1065,1040979.3
1066,1040884.25
1067,1040785.0
1068,1040682.0
1069,1040575.56
1070,1760339.0
1071,1760171.0
1072,1759981.4
1073,1759771.9
1074,1759544.8
1075,1759301.8
1076,1759044.4
1077,1758773.9
1078,1758492.2
1079,1758199.8
1080,557934.8
1081,557865.9
1082,557797.7
1083,557730.3
1084,557663.6
1085,557597.56
1086,557532.0
1087,557466.94
1088,557402.4
1089,557338.1
1090,480816.0
1091,480768.12
1092,480719.7
1093,480670.78
1094,480621.5
1095,480571.88
1096,480521.84
1097,480471.56
1098,480421.03
1099,480370.28
1100,1251667.1
1101,1251657.2
1102,1251643.8
1103,1251627.1
1104,1251607.9
1105,1251585.9
1106,1251561.5
1107,1251535.1
1108,1251506.8
1109,1251476.6
1110,69726.53
1111,69724.96
1112,69705.25
1113,69669.21
1114,69618.47
1115,69554.52
1116,69478.77
1117,69392.42
1118,69296.58
1119,69192.234
1120,429266.25
1121,429165.22
1122,429059.03
1123,428948.28
1124,428833.47
1125,428715.06
1126,428593.44
1127,428469.0
1128,428342.1
1129,428212.9
1130,339156.25
1131,339057.06
1132,338955.44
1133,338851.7
1134,338746.12
1135,338638.94
1136,338530.3
1137,338420.4
1138,338309.25
1139,338197.25
1140,52875.098
1141,52753.082
1142,52624.875
1143,52491.2
1144,52352.707
1145,52209.977
1146,52063.52
1147,51913.848
1148,51761.36
1149,51606.438
1150,56645.29
1151,56512.133
1152,56378.59
1153,56244.734
1154,56110.676
1155,55976.477
1156,55842.207
1157,55707.938
1158,55573.74
1159,55439.62
1160,208404.53
1161,208355.8
1162,208306.67
1163,208257.12
1164,208207.22
1165,208157.0
1166,208106.47
1167,208055.67
1168,208004.61
1169,207953.33
1170,102401.484
1171,102296.0
1172,102181.445
1173,102058.81
1174,101928.99
1175,101792.77
1176,101650.92
1177,101504.055
1178,101352.78
1179,101197.64
1180,52327.395
1181,52194.637
1182,52061.434
1183,51927.87
1184,51794.043
1185,51660.062
1186,51525.984
1187,51391.895
1188,51257.863
1189,51123.926
1190,78077.55
1191,77971.6
1192,77867.66
1193,77765.58
1194,77665.195
1195,77566.39
1196,77469.055
1197,77373.07
1198,77278.36
1199,77184.8
1200,49700.723
1201,49625.38
1202,49551.758
1203,49479.71
1204,49409.1
1205,49339.81
1206,49271.715
1207,49204.71
1208,49138.74
1209,49073.688
1210,59531.383
1211,59404.97
1212,59271.754
1213,59132.473
1214,58987.855
1215,58838.547
1216,58685.12
1217,58528.113
1218,58368.0
1219,58205.215
1220,64245.73
1221,64064.973
1222,63880.92
1223,63694.008
1224,63504.656
1225,63313.2
1226,63119.957
1227,62925.258
1228,62729.34
1229,62532.45
1230,60549.715
1231,60345.727
1232,60140.76
1233,59935.082
1234,59728.87
1235,59522.33
1236,59315.605
1237,59108.85
1238,58902.168
1239,58695.71
1240,983761.25
1241,983736.2
1242,983701.06
1243,983656.6
1244,983603.8
1245,983543.4
1246,983476.1
1247,983402.56
1248,983323.44
1249,983239.2
1250,62492.1
1251,62413.375
1252,62324.008
1253,62225.12
1254,62117.746
1255,62002.785
1256,61881.062
1257,61753.367
1258,61620.355
1259,61482.668
1260,553501.06
1261,553416.8
1262,553331.3
1263,553244.75
1264,553157.3
1265,553069.0
1266,552979.94
1267,552890.3
1268,552800.06
1269,552709.4
1270,54978.945
1271,54865.34
1272,54746.543
1273,54623.13
1274,54495.633
1275,54364.547
1276,54230.29
1277,54093.246
1278,53953.78
1279,53812.21
1280,1202199.8
1281,1202161.2
1282,1202115.5
1283,1202062.6
1284,1202003.8
1285,1201939.4
1286,1201869.9
1287,1201796.1
1288,1201717.9
1289,1201636.1
1290,59369.367
1291,59323.637
1292,59269.55
1293,59207.973
1294,59139.67
1295,59065.363
1296,58985.67
1297,58901.156
1298,58812.36
1299,58719.72
1300,91370.45
1301,91277.266
1302,91182.664
1303,91086.805
1304,90989.875
1305,90892.05
1306,90793.42
1307,90694.11
1308,90594.24
1309,90493.89
1310,184693.97
1311,184650.58
1312,184609.0
1313,184569.08
1314,184530.62
1315,184493.52
1316,184457.58
1317,184422.72
1318,184388.84
1319,184355.84
1320,1329686.6
1321,1329695.1
1322,1329665.8
1323,1329602.2
1324,1329507.9
1325,1329385.8
1326,1329238.4
1327,1329068.6
1328,1328878.5
1329,1328669.8
1330,509693.03
1331,509611.28
1332,509529.53
1333,509447.62
1334,509365.6
1335,509283.5
1336,509201.34
1337,509119.12
1338,509036.8
1339,508954.47
1340,1459869.5
1341,1459740.1
1342,1459601.9
1343,1459455.9
1344,1459302.9
1345,1459143.4
1346,1458978.1
1347,1458807.5
1348,1458632.2
1349,1458452.9
1350,485727.7
1351,485684.72
1352,485641.66
1353,485598.6
1354,485555.44
1355,485512.25
1356,485469.03
1357,485425.78
1358,485382.44
1359,485339.06
1360,91820.55
1361,91794.24
1362,91760.3
1363,91719.516
1364,91672.58
1365,91620.16
1366,91562.79
1367,91501.04
1368,91435.375
1369,91366.22
1370,54557.133
1371,54469.555
1372,54375.63
1373,54276.01
1374,54171.336
1375,54062.17
1376,53949.004
1377,53832.305
1378,53712.47
1379,53589.875
1380,41110.73
1381,41014.46
1382,40918.53
1383,40822.938
1384,40727.688
1385,40632.76
1386,40538.184
1387,40443.934
1388,40350.027
1389,40256.453
1390,534703.3
1391,534657.06
1392,534606.44
1393,534551.9
1394,534493.9
1395,534432.7
1396,534368.56
1397,534301.94
1398,534233.0
1399,534162.0
1400,706573.75
1401,706532.4
1402,706484.8
1403,706431.7
1404,706373.5
1405,706310.6
1406,706243.7
1407,706173.0
1408,706098.94
1409,706021.7
1410,203780.44
1411,203753.17
1412,203721.14
1413,203684.73
1414,203644.45
1415,203600.69
1416,203553.8
1417,203504.12
1418,203451.97
1419,203397.56
1420,647705.6
1421,647687.2
1422,647662.7
1423,647632.8
1424,647598.0
1425,647558.75
1426,647515.5
1427,647468.7
1428,647418.5
1429,647365.5
1430,515738.75
1431,515717.75
1432,515690.4
1433,515657.38
1434,515619.1
1435,515576.22
1436,515529.06
1437,515478.28
1438,515424.0
1439,515366.75
1440,1417239.2
1441,1417159.8
1442,1417053.8
1443,1416924.1
1444,1416772.6
1445,1416602.1
1446,1416413.8
1447,1416209.8
1448,1415991.5
1449,1415760.8
1450,50666.254
1451,50672.74
1452,50663.117
1453,50639.023
1454,50601.89
1455,50553.074
1456,50493.766
1457,50425.086
1458,50347.98
1459,50263.383
1460,54358.59
1461,54296.12
1462,54233.184
1463,54169.863
1464,54106.203
1465,54042.28
1466,53978.117
1467,53913.773
1468,53849.293
1469,53784.71
1470,140814.14
1471,140736.83
1472,140656.95
1473,140574.8
1474,140490.61
1475,140404.67
1476,140317.14
1477,140228.27
1478,140138.2
1479,140047.08
1480,310120.62
1481,310053.2
1482,309986.1
1483,309919.28
1484,309852.8
1485,309786.66
1486,309720.72
1487,309655.12
1488,309589.75
1489,309524.66
1490,244377.55
1491,244331.0
1492,244285.5
1493,244240.94
1494,244197.2
1495,244154.3
1496,244112.06
1497,244070.4
1498,244029.38
1499,243988.88
1500,66551.68
1501,66461.07
1502,66360.17
1503,66250.125
1504,66131.88
1505,66006.35
1506,65874.34
1507,65736.56
1508,65593.67
1509,65446.285
1510,291564.38
1511,291583.12
1512,291594.75
1513,291599.97
1514,291599.34
1515,291593.4
1516,291582.7
1517,291567.66
1518,291548.75
1519,291526.25
1520,283162.16
1521,283127.3
1522,283089.94
1523,283050.3
1524,283008.62
1525,282965.2
1526,282920.06
1527,282873.47
1528,282825.62
1529,282776.62
1530,205770.31
1531,205757.89
1532,205742.78
1533,205725.27
1534,205705.58
1535,205683.97
1536,205660.61
1537,205635.72
1538,205609.39
1539,205581.83
1540,49513.477
1541,49444.203
1542,49366.047
1543,49279.957
1544,49186.79
1545,49087.3
1546,48982.2
1547,48872.1
1548,48757.574
1549,48639.13
1550,572497.1
1551,572455.1
1552,572411.6
1553,572366.9
1554,572321.06
1555,572274.2
1556,572226.3
1557,572177.75
1558,572128.3
1559,572078.25
1560,456600.9
1561,456574.25
1562,456539.47
1563,456497.22
1564,456448.34
1565,456393.44
1566,456333.03
1567,456267.75
1568,456198.0
1569,456124.28
1570,133605.94
1571,133575.83
1572,133543.69
1573,133509.69
1574,133474.08
1575,133436.98
1576,133398.6
1577,133359.05
1578,133318.45
1579,133276.95
1580,395816.56
1581,395778.75
1582,395740.66
1583,395702.38
1584,395663.88
1585,395625.28
1586,395586.47
1587,395547.6
1588,395508.53
1589,395469.38
1590,37762.383
1591,37719.55
1592,37672.08
1593,37620.473
1594,37565.16
1595,37506.54
1596,37444.973
1597,37380.793
1598,37314.285
1599,37245.727
1600,740193.5
1601,740177.75
1602,740156.5
1603,740130.44
1604,740099.8
1605,740065.25
1606,740027.0
1607,739985.5
1608,739941.0
1609,739893.94
1610,26034.646
1611,26004.246
1612,25969.564
1613,25931.055
